FirstName,President,Date,delivery,nwords,type,filename,party
George,Washington,"January 8, 1790",spoken,1089,SOTU,su1790.txt,Independent
George,Washington,"December 8, 1790",spoken,1401,SOTU,su1790b.txt,Independent
George,Washington,"October 25, 1791",spoken,2302,SOTU,su1791.txt,Independent
George,Washington,"November 6, 1792",spoken,2101,SOTU,su1792.txt,Independent
George,Washington,"December 3, 1793",spoken,1968,SOTU,su1793.txt,Independent
George,Washington,"November 19, 1794",spoken,2918,SOTU,su1794.txt,Independent
George,Washington,"December 8, 1795",spoken,1989,SOTU,su1795.txt,Independent
George,Washington,"December 7, 1796",spoken,2871,SOTU,su1796.txt,Independent
John,Adams,"November 22, 1797",spoken,2063,SOTU,su1797.txt,Federalist
John,Adams,"December 8, 1798",spoken,2218,SOTU,su1798.txt,Federalist
John,Adams,"December 3, 1799",spoken,1505,SOTU,su1799.txt,Federalist
John,Adams,"November 22, 1800",spoken,1372,SOTU,su1800.txt,Federalist
Thomas,Jefferson,"December 8, 1801",written,3224,SOTU,su1801.txt,Democratic-Republican
Thomas,Jefferson,"December 15, 1802",written,2197,SOTU,su1802.txt,Democratic-Republican
Thomas,Jefferson,"October 17, 1803",written,2263,SOTU,su1803.txt,Democratic-Republican
Thomas,Jefferson,"November 8, 1804",written,2096,SOTU,su1804.txt,Democratic-Republican
Thomas,Jefferson,"December 3, 1805",written,2927,SOTU,su1805.txt,Democratic-Republican
Thomas,Jefferson,"December 2, 1806",written,2860,SOTU,su1806.txt,Democratic-Republican
Thomas,Jefferson,"October 27, 1807",written,2384,SOTU,su1807.txt,Democratic-Republican
Thomas,Jefferson,"November 8, 1808",written,2675,SOTU,su1808.txt,Democratic-Republican
James,Madison,"November 29, 1809",written,1831,SOTU,su1809.txt,Democratic-Republican
James,Madison,"December 5, 1810",written,2446,SOTU,su1810.txt,Democratic-Republican
James,Madison,"November 5, 1811",written,2273,SOTU,su1811.txt,Democratic-Republican
James,Madison,"November 4, 1812",written,3242,SOTU,su1812.txt,Democratic-Republican
James,Madison,"December 7, 1813",written,3257,SOTU,su1813.txt,Democratic-Republican
James,Madison,"September 20, 1814",written,2111,SOTU,su1814.txt,Democratic-Republican
James,Madison,"December 5, 1815",written,3146,SOTU,su1815.txt,Democratic-Republican
James,Madison,"December 3, 1816",written,3364,SOTU,su1816.txt,Democratic-Republican
James,Monroe,"December 12, 1817",written,4418,SOTU,su1817.txt,Democratic-Republican
James,Monroe,"November 16, 1818",written,4376,SOTU,su1818.txt,Democratic-Republican
James,Monroe,"December 7, 1819",written,4702,SOTU,su1819.txt,Democratic-Republican
James,Monroe,"November 14, 1820",written,3446,SOTU,su1820.txt,Democratic-Republican
James,Monroe,"December 3, 1821",written,5814,SOTU,su1821.txt,Democratic-Republican
James,Monroe,"December 3, 1822",written,4723,SOTU,su1822.txt,Democratic-Republican
